x,y
1924472.9065653796,967720.6192384383
1924472.8921499557,967720.6798950941
1924472.8839784334,967720.7156555452
1924472.8688903123,967720.7832823443
1924472.8549177498,967720.8429711298
1924472.8394678356,967720.9039538575
1924472.8248198575,967720.9646302486
1924472.8131917855,967721.0125280699
1924472.7999388014,967721.0664846594
1924472.7851147929,967721.1259226049
1924472.7707027975,967721.1856922095
1924472.7593072008,967721.23359093
1924472.7445832486,967721.2938750688
1924472.7330579427,967721.3419176938
1924472.718659574,967721.3981597264
1924472.7022249212,967721.4599638312
1924472.6901232179,967721.5101084309
1924472.6742553203,967721.5723066839
1924472.657508231,967721.6347490948
1924472.6459991843,967721.6785833844
1924472.6303356981,967721.7413600504
1924472.6147735422,967721.8046528461
1924472.5991101367,967721.8674088845
1924472.5834718458,967721.9303506857
1924472.5737701207,967721.9677143262
1924472.5563019454,967722.036280884
1924472.5400725848,967722.0984364838
1924472.5235621182,967722.1598070833
1924472.510505891,967722.2096385544
1924472.4935010583,967722.2719355675
1924472.4783532973,967722.3282572217
1924472.4622301299,967722.3896705769
1924472.448681452,967722.4399333657
1924472.4316263979,967722.501858854
1924472.4148812266,967722.5638061702
1924472.4016693824,967722.6138020802
1924472.3867053036,967722.6693817885
1924472.3702774316,967722.7294324246
1924472.3537168212,967722.7904108728
1924472.350287459,967722.8021976452
1924472.336178244,967722.8504572185
1924472.3191540418,967722.9110831742
1924472.3072113034,967722.9535129947
1924472.2895393518,967723.0146521856
1924472.2717906248,967723.0756054149
1924472.2680239526,967723.0877828478
1924472.253501691,967723.1359789352
1924472.2353662269,967723.196745008
1924472.2180037496,967723.2513252409
1924472.2018807994,967723.2993088568
1924472.1821936816,967723.3605434124
1924472.1619674694,967723.42090945
1924472.1414558478,967723.4816044536
1924472.1256417516,967723.5298780721
1924472.1070896438,967723.5848250458
1924472.0865277154,967723.6451691573
1924472.066793959,967723.7051038813
1924472.0464929666,967723.764768232
1924472.0307574768,967723.8127533413
1924472.0124694926,967723.8661953887
1924471.9921421937,967723.9259834146
1924471.9725151854,967723.9850314874
1924471.956367049,967724.0328499716
1924471.936483408,967724.0914638332
1924471.920235536,967724.1383536098
1924471.9021058027,967724.190950464
1924471.8822240764,967724.2490692304
1924471.8781757408,967724.2606060617
1924471.862421756,967724.3066931997
